election_year,election_date,country,election_type,post_id,post_type,post_date,modified,days_from_election,title,url,categories,source,match_score,match_reasons
2023,25/02/2023,Nigeria,Presidential,14254,post,23/03/2023,23/03/2023,26,misleading to suggest weah increased armed forces of liberia budget by us$4 million in 2022 fiscal year,https://dubawa.org/misleading-to-suggest-weah-increased-armed-forces-of-liberia-budget-by-us4-million-in-2022-fiscal-year/,120|1960,window,1,election:legislative
2023,25/02/2023,Nigeria,Presidential,14243,post,23/03/2023,23/03/2023,26,assessing weah’s claim to fame as “feminist-in-chief” and the cry of women in liberia,https://dubawa.org/assessing-weahs-claim-to-fame-as-feminist-in-chief-and-the-cry-of-women-in-liberia/,120|5|1572|1960|123|1574,window,1,election:election|candidate|presidential
2023,25/02/2023,Nigeria,Presidential,14233,post,22/03/2023,22/03/2023,25,"dubawa launches community verification/fact-checking service with ifcn, meta support",https://dubawa.org/dubawa-launches-community-verification-fact-checking-service-with-ifcn-meta-support/,1576|1268,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,14178,post,20/03/2023,20/03/2023,23,no clash between apga and lp supporters in anambra,https://dubawa.org/no-clash-between-apga-and-lp-supporters-in-anambra/,1571|3797,window,2,body:labour party; election:election|vote|voter
2023,25/02/2023,Nigeria,Presidential,14148,post,19/03/2023,19/03/2023,22,"hon. chinasa, not yoruba!",https://dubawa.org/hon-chinasa-not-yoruba/,1571|3797,window,1,body:labour party
2023,25/02/2023,Nigeria,Presidential,14132,post,19/03/2023,19/03/2023,22,wasiu ayinde not among thugs that disrupted guber election,https://dubawa.org/wasiu-ayinde-not-among-thugs-that-disrupted-guber-election/,5|1571,window,2,body:nigeria; election:election|ballot
2023,25/02/2023,Nigeria,Presidential,14120,post,19/03/2023,19/03/2023,22,did dapo abiodun lead thugs to snatch ballot boxes at iperu?,https://dubawa.org/did-dapo-abiodun-lead-thugs-to-snatch-ballot-boxes-at-iperu/,1571|3797,window,2,body:apc; election:ballot|candidate
2023,25/02/2023,Nigeria,Presidential,14090,post,18/03/2023,18/03/2023,21,video of uk parliament session unrelated to election rigging,https://dubawa.org/video-of-uk-parliament-session-unrelated-to-election-rigging/,1571|3797,window,2,body:apc; election:election|parliament|presidential
2023,25/02/2023,Nigeria,Presidential,14087,post,18/03/2023,18/03/2023,21,true! ndlea arrested four party agents with credit cards for vote-buying,https://dubawa.org/true-ndlea-arrested-four-party-agents-with-credit-cards-for-vote-buying/,1571|3797,window,1,election:vote
2023,25/02/2023,Nigeria,Presidential,14073,post,18/03/2023,18/03/2023,21,true! thugs threatened voters at ojo,https://dubawa.org/true-thugs-threatened-voters-at-ojo/,1571|3797,window,2,body:apc; election:election|vote|voter
2023,25/02/2023,Nigeria,Presidential,14061,post,18/03/2023,18/03/2023,21,old video used to make false political claim,https://dubawa.org/old-video-used-to-make-false-political-claim/,5|1571|3797,window,1,body:apc
2023,25/02/2023,Nigeria,Presidential,14058,post,18/03/2023,18/03/2023,21,no! sangotedo polling unit not attacked,https://dubawa.org/no-sangotedo-polling-unit-not-attacked/,1571|3797,window,2,body:inec; election:election|poll
2023,25/02/2023,Nigeria,Presidential,14031,post,18/03/2023,18/03/2023,21,gbadebo rhodes-vivour remains lp candidate,https://dubawa.org/gbadebo-rhodes-vivour-remains-lp-candidate/,1571,window,2,body:labour party; election:candidate
